device	posX	posY	posZ	rotX	rotY	rotZ
head	-5.46	-60.29	-18.49	2.61	169.43	179.42
head	2.03	-60.92	-21.72	15.09	175.84	166.35
head	2.56	-59.21	-21.00	19.08	171.73	159.47
head	3.17	-58.96	-21.16	18.25	176.63	148.43
head	-4.12	-62.79	-18.06	1.28	170.00	178.32
head	-11.49	-61.49	-17.48	9.79	155.11	159.76
head	-11.49	-59.21	-17.99	11.17	156.51	153.94
head	-11.77	-57.79	-16.66	15.62	152.43	152.32
head	-5.46	-60.29	-18.49	2.61	169.43	179.42
lh	15.17	34.03	-24.65	41.80	149.85	175.57
lh	19.99	33.81	-19.79	44.70	176.01	176.30
lh	16.22	32.64	-24.20	40.20	163.41	119.62
lh	20.81	34.90	-15.93	58.50	149.48	143.28
lh	18.20	32.77	-22.33	48.73	171.72	135.85
lh	77.92	-25.73	-14.97	16.62	65.82	51.63
lh	76.07	-29.33	-7.73	14.07	73.28	62.62
lh	66.93	4.91	-10.56	7.58	68.13	45.30
lh	15.17	34.03	-24.65	41.80	149.85	175.57
rh	-28.69	34.81	-22.13	45.50	170.56	176.47
rh	-86.46	-36.18	-11.98	10.98	87.63	172.41
rh	-87.07	-33.80	0.18	11.75	72.04	28.61
rh	-75.25	3.05	-8.82	22.24	81.79	29.69
rh	-28.70	33.48	-15.79	52.98	145.55	145.16
rh	-29.36	34.24	-14.85	50.80	148.44	150.19
rh	-29.68	34.35	-14.97	48.36	157.52	153.62
rh	-32.59	34.58	-11.59	55.06	124.29	155.36
rh	-28.69	34.81	-22.13	45.50	170.56	176.47
lf	5.98	97.68	-20.76	50.50	151.99	10.67
lf	9.67	96.37	-19.65	44.23	150.53	10.30
lf	10.63	96.48	-19.60	42.39	152.84	11.14
lf	9.59	96.72	-18.37	43.76	140.63	10.32
lf	6.49	95.21	-15.75	45.82	154.39	10.30
lf	8.38	94.84	-18.53	43.61	153.04	8.44
lf	11.56	96.92	-19.85	47.58	142.29	5.80
lf	9.57	97.93	-21.47	47.24	147.50	7.56
lf	5.98	97.68	-20.76	50.50	151.99	10.67
rf	-17.39	95.27	-16.38	53.39	134.91	14.61
rf	-16.98	95.04	-20.42	47.25	145.73	16.78
rf	-18.38	95.19	-18.22	45.27	144.13	18.77
rf	-13.34	95.81	-22.35	45.67	156.41	18.65
rf	-16.27	95.14	-15.86	47.97	145.42	15.77
rf	-16.85	93.83	-15.56	46.05	136.69	14.82
rf	-18.49	95.33	-12.68	49.43	129.09	15.15
rf	-19.98	96.13	-15.67	49.88	129.61	14.53
rf	-17.39	95.27	-16.38	53.39	134.91	14.61
